State,Constituency,Candidate,Party,Votes
Maharashtra,Mumbai South central,SUNDAR BALAKRISHNAN,Aam Aadmi Party,27715
Maharashtra,Mumbai South central,ADV.AIYYAR GANESH,Bahujan Samaj Party,14762
Maharashtra,Mumbai South central,ABBAS HUSSAIN SHAIKH,Samajwadi Party,5575
Maharashtra,Mumbai South central,NOOR MOHAMMAD SAHEB RAJA KHAN,Independent,1588
Maharashtra,Mumbai South central,HUSSAIN AKBAR SAYYED,Bahujan Mukti Party,1430
Maharashtra,Mumbai South central,DILIP GAIKWAD,Independent,1338
Maharashtra,Mumbai South central,MOIN SOHAIL SAYYED,Independent,1212
Maharashtra,Mumbai South central,NAMDEV SAHEBRAO SABLE,Independent,1184
Maharashtra,Mumbai South central,ADV.VAISHALI SURENDRA BORDE,Independent,1083
Maharashtra,Mumbai South central,ASLAM HANIF KHOT,Peace Party,1018
Maharashtra,Mumbai South central,SANGHAPAL HIRACHAND GADEKAR,Ambedkarite Party of India,919
Maharashtra,Mumbai South central,MAHENDRA TULSHIRAM BHINGARDIVE,Independent,919
Maharashtra,Mumbai South central,CLIFFORD MARTIS,Independent,800
Maharashtra,Mumbai South central,MR. NADAR SELVAKUMAR PERIMBRAJ,Independent,686
Maharashtra,Mumbai South central,KHAN SIRAJ AHMED,Independent,545
Maharashtra,Mumbai South central,GANESH BHIMRAO BUDHE,Independent,514
Maharashtra,Mumbai South central,PAL JITENDRA KUMAR,Independent,453
Maharashtra,Mumbai South central,SHINDE SARJERAO MAHADEV,Independent,418
Maharashtra,Mumbai South central,None of the Above,None of the Above,9580
Maharashtra,Ahmadnagar,GANDHI DILIPKUMAR MANSUKHLAL,Bharatiya Janata Party,605185
Maharashtra,Ahmadnagar,RAJEEV APPASAHEB RAJALE,Nationalist Congress Party,396063
Maharashtra,Ahmadnagar,KOLSEPATIL BABAN GANGADHAR,Independent,12683
Maharashtra,Ahmadnagar,KAKADE KISAN YASHWANT,Bahujan Samaj Party,8386
Maharashtra,Ahmadnagar,DEEPALI SAYYED,Aam Aadmi Party,7120
Maharashtra,Ahmadnagar,H.B.P. AJAY SAHEBRAO BARASKAR MAHARAJ,Bahujan Mukti Party,6003
Maharashtra,Ahmadnagar,SHRIDHAR JAKHUJI DAREKAR,Independent,5649
Maharashtra,Ahmadnagar,LAXMAN BHANUDAS SONALE,Independent,3497
Maharashtra,Ahmadnagar,ANIL JAYSING GHANVAT,Independent,3086
Maharashtra,Ahmadnagar,PETRAS KISAN GAWARE,Independent,2525
Maharashtra,Ahmadnagar,DESHMUKH VIKAS NANASAHEB,Independent,2202
Maharashtra,Ahmadnagar,DAMALE SHIVAJIRAO WAMAN,Bhartiya Navjawan Sena (Paksha),1385
Maharashtra,Ahmadnagar,POPAT MANIK FULE,Maharashtra Parivartan Sena (T),1061
Maharashtra,Ahmadnagar,None of the Above,None of the Above,7473
Maharashtra,Yavatmal Washim,GAWALI BHAVANA PUNDLIKRAO,Shivsena,477905
Maharashtra,Yavatmal Washim,ADV.SHIVAJIRAO SHIVARAMJI MOGHE,Indian National Congress,384089
Maharashtra,Yavatmal Washim,RATHOD BALIRAM PARASHRAM,Bahujan Samaj Party,48981
Maharashtra,Yavatmal Washim,RAJU OR BHARATRAJE UDDHAORAO PATIL,Maharashtra Navnirman sena,26194
Maharashtra,Yavatmal Washim,RATHOD MOHAN MALLU,Bharipa Bahujan Mahasangh,22143
Maharashtra,Yavatmal Washim,GAIKAWAD RAJENDRA VITTHAL,Independent,7482
Maharashtra,Yavatmal Washim,ULHAS VASRAMJI JADHAO,Independent,7166
Maharashtra,Yavatmal Washim,RATHOD NARESH FULSING,Aam Aadmi Party,6423
Maharashtra,Yavatmal Washim,ABRAR AHMAD MAHMUD KHAN,Welfare Party Of India,5672
Maharashtra,Yavatmal Washim,DHOTE JAMBUWANTRAO BAPURAO,All India Forward Bloc,4708
Maharashtra,Yavatmal Washim,RATHOD INDUWAR KASHIRAM,Bahujan Mukti Party,4627
Maharashtra,Yavatmal Washim,SUDHAKAR NAMDEORAO GHAYAWAN,Republican Party of India (Khobragade),3602
Maharashtra,Yavatmal Washim,NARESH MAHADEORAO GUGHANE,Independent,3422
Maharashtra,Yavatmal Washim,AHMAD PARVEZ IQBAL AHMAD NUR MOHAMMAD,Samajwadi Party,3262
Maharashtra,Yavatmal Washim,PRAKASH RAGHUNATH RAUT,Independent,2514
Maharashtra,Yavatmal Washim,GURNULE RAMESH VITHOBA,Independent,2484
Maharashtra,Yavatmal Washim,SAWAKE RAMKRUSHNA PUNDLIKRAO,Communist Party of India (Marxist-Leninist) Red Star,2193
Maharashtra,Yavatmal Washim,CHAVAN VINOD NARAYAN,Independent,2177
Maharashtra,Yavatmal Washim,SHAIKH JABBAR SHAIKH USUF,Independent,2172
Maharashtra,Yavatmal Washim,SURESH RAJARAM MUKHMALE,Maharashtra Vikas Aghadi,2130
Maharashtra,Yavatmal Washim,RAGHUNATH SHANKARRAO SHELKE,Ambedkarist Republican Party,1911
Maharashtra,Yavatmal Washim,PRASHANT PANDHARINATH SURVE,Independent,1558
Maharashtra,Yavatmal Washim,KAMBLE UTTAM BHAGAJI,Prabuddha Republican Party,1402
Maharashtra,Yavatmal Washim,SHYAMKUMAR BAPURAO LOKHANDE,Independent,1218
Maharashtra,Yavatmal Washim,MESHRAM DNYANESHWAR TUKARAM,Independent,1036
Maharashtra,Yavatmal Washim,PATIL UPENDRA BABARAO,Independent,895
Maharashtra,Yavatmal Washim,None of the Above,None of the Above,5583
Maharashtra,Raver,KHADASE RAKSHA NIKHIL,Bharatiya Janata Party,605452
Maharashtra,Raver,MANISHDADA JAIN,Nationalist Congress Party,287384
Maharashtra,Raver,BHANDE DASHRATH MOTIRAM,Bahujan Samaj Party,29752
Maharashtra,Raver,DR. ULHAS VASUDEO PATIL,Independent,21332
Maharashtra,Raver,MANISHDADA SATISH JAIN,Independent,14599
Maharashtra,Raver,MOHAN SHAMRAO CHAVHAN (MANOJSIR VARDIKAR),Independent,8797
Maharashtra,Raver,KHATIK MOHAMMAD HAROON,Samajwadi Party,4376
Maharashtra,Raver,SHAIKH SHAKIR,Independent,4009
Maharashtra,Raver,RAJEEV SATYENDRA SHARMA,Aam Aadmi Party,3756
Maharashtra,Raver,ZAGADYA PURMYA PAWARA,Independent,3707
Maharashtra,Raver,D.D.WANI (PHOTOGRAPHER) (DNYANESHWAR DIVAKAR WANI),Independent,3349
Maharashtra,Raver,GOVINDA NARAYAN GUNJAL,Independent,2844
Maharashtra,Raver,KADRI SANIYA SAIYED ALI,Independent,2658
Maharashtra,Raver,WAMANRAO MADHAV SASANE,Bahujan Mukti Party,1757
Maharashtra,Raver,J.G.SURWADE,Independent,1634
Maharashtra,Raver,MANYAR SHE. SAJID SHE. KADAR,Minorities Democratic Party,1606
Maharashtra,Raver,SHAIKH SHAHERA BI. JAINODDIN SHAIKH,Independent,1375
Maharashtra,Raver,SURESH HIRAMAN INGALE,Independent,1258
Maharashtra,Raver,DNYANESHWAR AMALE-PATIL,All India Forward Bloc,1220
Maharashtra,Raver,GAIKWAD BHAGWAN MADHAV,Prabuddha Republican Party,1206
Maharashtra,Raver,ASHOK TRYAMBAK INGALE,Independent,1131
Maharashtra,Raver,SONAWANE VANDANA SHIVAJI,Independent,978
Maharashtra,Raver,SHAIKH MO. ASGAR SAKHAWAT,Republican Party of India,821
Maharashtra,Raver,None of the Above,None of the Above,4212
Maharashtra,Osmanabad,GAIKWAD RAVINDRA VISHWANATH,Shivsena,607699
Maharashtra,Osmanabad,PATIL PADMASINHA BAJIRAO,Nationalist Congress Party,373374
Maharashtra,Osmanabad,DHALE PADMASHEEL RAMCHANDRA,Bahujan Samaj Party,28322
Maharashtra,Osmanabad,ROHAN SUBHASH DESHMUKH,Independent,26868
Maharashtra,Osmanabad,TUKARAM DASRAO GANGAWANE,Independent,10210
Maharashtra,Osmanabad,KAKASAHEB BABURAO RATHOD,Independent,7245
Maharashtra,Osmanabad,GAIKWAD RAVINDRA VISHWANATH,Independent,7169
Maharashtra,Osmanabad,TUPSUNDARE BALAJI BAPURAO,Independent,7038
Maharashtra,Osmanabad,VIKRAM ASHOK SAWALE,Aam Aadmi Party,4240
Maharashtra,Osmanabad,TARKASE PUSHPA MURLIDHAR,Hindusthan Nirman Dal,4126
Maharashtra,Osmanabad,NAVNATH DASHRATH UPLEKAR,Independent,4092
Maharashtra,Osmanabad,ROKDE MILIND SOMNATH,Bharipa Bahujan Mahasangh,3725
Maharashtra,Osmanabad,SMT. JADHAV UJVALA EKNATH,Independent,3466
Maharashtra,Osmanabad,PADMSINH VIJAYSINH MUNDHE,Independent,3361
Maharashtra,Osmanabad,GAIKWAD UMAJI PANDURANG,Independent,2355
Maharashtra,Osmanabad,ADV. SHAILENDRA RAMESHWAR YAVALKAR,Samajwadi Party,2257
Maharashtra,Osmanabad,PATIL MANOHAR ANANDRAO,Independent,2251
Maharashtra,Osmanabad,KSHIRSAGAR SHIVAJI JAGANNATH,Independent,1978
Maharashtra,Osmanabad,SUSHILKUMAR VINAYAK PADULE,Independent,1963
Maharashtra,Osmanabad,DR. RAMESH SUBRAV BANSODE,Republican Party of India,1701
Maharashtra,Osmanabad,ALTAF HUSAIN YENEGURE,Independent,1640
Maharashtra,Osmanabad,SAYYAD MOHAMD SAYYAD IBRAHIM,Bahujan Mukti Party,1528
Maharashtra,Osmanabad,KSHIRSAGAR VIJAY MARUTI,Independent,1482
Maharashtra,Osmanabad,SIDDIK IBRAHIM BOUDIWALI,Independent,1429
Maharashtra,Osmanabad,SHAIKH MUBARAK MAINODDIN,Independent,1418
Maharashtra,Osmanabad,SHINDE RAJENDRA BHAIRAVNATH,Maharashtra Parivartan Sena (T),1313
Maharashtra,Osmanabad,BHOSALE REVAN VISHWANATH,Janata Dal (Secular),1288
Maharashtra,Osmanabad,None of the Above,None of the Above,4613
Maharashtra,Shirur,ADHALRAO SHIVAJI DATTATREY,Shivsena,643415
Maharashtra,Shirur,NIKAM DEVDATTA JAYWANT,Nationalist Congress Party,341601
Maharashtra,Shirur,ASHOK SHIRPATI KHANDEBHARAD,Maharashtra Navnirman sena,36448
Maharashtra,Shirur,WAGHMARE SARJERAO BHIKA,Bahujan Samaj Party,19783
Maharashtra,Shirur,NIKAM SOPANRAO PANDHARINATH,Aam Aadmi Party,16663
Maharashtra,Shirur,SONALI CHANDRASHEKHAR THORAT,Independent,3850
Maharashtra,Shirur,MILINDRAJE DIGAMBAR BHOSALE,Independent,3258
Maharashtra,Shirur,DAMBALE RAM DHARMA,Independent,2433
Maharashtra,Shirur,NILESH YASHWANT MHASKULE,Independent,2118
Maharashtra,Shirur,BAJARE SITARAM NAMDEO (BABA),Bahujan Mukti Party,1933
Maharashtra,Shirur,GEETARAM RAMCHANDRA KADAM,Socialist Party (India),1906
Maharashtra,Shirur,KATORE MAHADEV NIWRITTI,Independent,1792
Maharashtra,Shirur,VIKAS SUDAM KUSEKAR,All India Forward Bloc,1174
Maharashtra,Shirur,UMESH ARJUN KANCHAN,Independent,1137
Maharashtra,Shirur,None of the Above,None of the Above,11995
Maharashtra,Latur,DR. SUNIL BALIRAM GAIKWAD,Bharatiya Janata Party,616509
Maharashtra,Latur,BANSODE DATTATRAY GUNDERAO,Indian National Congress,363114
Maharashtra,Latur,KAMBLE DEEPAK ARVIND,Bahujan Samaj Party,20029
Maharashtra,Latur,DIPRATNA PRABHAKARRAO NILANGEKAR,Aam Aadmi Party,9829
Maharashtra,Latur,SHINDE SUDHIR SHRIPATRAO,Independent,8678
Maharashtra,Latur,GAJANAN PANDURANG MANE,Independent,3401
Maharashtra,Latur,SURYAWANSI SIDHARTH TUKARAM,Bahujan Mukti Party,2830
Maharashtra,Latur,BHARAT MAROTI KADAM,Ambedkarite Party of India,2724
Maharashtra,Latur,JARIPATKE DNYANOBA SOPANRAO,Independent,2052
Maharashtra,Latur,BHARAT DAMODAR LONDHE,Independent,2035
Maharashtra,Latur,PADMAKAR KONDIBA OVHAL,Independent,1941
Maharashtra,Latur,BALAJI DNYANOBA KAMBLE,Samajwadi Party,1840
Maharashtra,Latur,RAJKUMAR BHIMRAO CHANDANSHIVE,Independent,1765
Maharashtra,Latur,UDARE MINAKSHI MAHADEV,Independent,1541
Maharashtra,Latur,SHIVKHANDESHWAR NARAYAN DAHGE,Bharatiya Jawala Shakti Paksha,1337
Maharashtra,Latur,JOGDAND FAKIRA VAIJNATH,Independent,1306
Maharashtra,Latur,GAJENDRA LIMBAJI AVGHADE,Independent,1287
Maharashtra,Latur,KAMBLE MILIND HARIBHAU,Independent,942
Maharashtra,Latur,None of the Above,None of the Above,13996
Maharashtra,Nandurbar,DR.GAVIT HEENA VAIJAYKUMAR,Bharatiya Janata Party,579486
Maharashtra,Nandurbar,GAVIT MANIKRAO HODLYA,Indian National Congress,472581
Maharashtra,Nandurbar,VASAVE AMIT SHEKLAL,Bahujan Samaj Party,12133
Maharashtra,Nandurbar,ADV.SOBJI DEVALYA GAVIT,Independent,9184
Maharashtra,Nandurbar,C.S.VALVI,Independent,6004
Maharashtra,Nandurbar,ARJUNSING DIVANSING VASAVE,Bharipa Bahujan Mahasangh,4712
Maharashtra,Nandurbar,MAHESH JAYSING PAWARA,Independent,4389
Maharashtra,Nandurbar,VIRENDRA RAVAJI VALVI,Aam Aadmi Party,3511
Maharashtra,Nandurbar,RANJIT JUGLA PADVI,Bahujan Mukti Party,3498
Maharashtra,Nandurbar,None of the Above,None of the Above,21178
Maharashtra,Jalna,DANVE RAOSAHEB DADARAO,Bharatiya Janata Party,591428
Maharashtra,Jalna,AUTADE VILAS KESHAVRAO,Indian National Congress,384630
Maharashtra,Jalna,DR. WANKHEDE SHARADCHANDRA GANAPATRAO,Bahujan Samaj Party,23719
Maharashtra,Jalna,M. JAVED A. WAHAB,Independent,7704
Maharashtra,Jalna,NADE DNYANESHWAR DAGDUJI,Independent,6953
Maharashtra,Jalna,BABASAHEB PATIL SHINDE,Independent,6547
Maharashtra,Jalna,DILIP DATTA MHASKE,Aam Aadmi Party,4622
Maharashtra,Jalna,VITTHAL SAHEBRAO SHELKE,Ambedkarite Party of India,4587
Maharashtra,Jalna,KAKARWAL PRATAPSING MAHAJAN,Independent,4237
Maharashtra,Jalna,AGRAWAL KUNJBIHARI JUGALKISHOR,Samajwadi Party,3469
Maharashtra,Jalna,RAMBHAU HARIBHAU UGLE,Rashtriya Sant Sandesh Party,3283
Maharashtra,Jalna,KARANDE GANESH NAVNATHRAO,Independent,2874
Maharashtra,Jalna,MIRZA AFSAR BEG,Welfare Party Of India,2467
Maharashtra,Jalna,RATHOD RAMESH LALSING,Bahujan Mukti Party,2462
Maharashtra,Jalna,UNGE RAMBHAU KUNDLIK,Independent,2240
Maharashtra,Jalna,AD. MAHESH VITTHALRAO KHARAT,Independent,1967
Maharashtra,Jalna,ASHOK VITTHAL SONWANE,Independent,1894
Maharashtra,Jalna,SANJAY NIVRUTTI HIVRALE,Ambedkar National Congress,1821
Maharashtra,Jalna,SAYYAD HUSAIN AHMAD,Independent,1655
Maharashtra,Jalna,MOHAMMAD ASAD SHAIKH AHEMAD,Minorities Democratic Party,1342
Maharashtra,Jalna,RAMBHAU VITTHAL CHINCHORE,Independent,1120
Maharashtra,Jalna,SAPKAL LILABAI DHARMA,Independent,1110
Maharashtra,Jalna,None of the Above,None of the Above,4128
Maharashtra,Maval,APPA ALIAS SHRIRANG CHANDU BARNE,Shivsena,512226
Maharashtra,Maval,JAGTAP LAXMANBHAU PANDURANG,Peasants And Workers Party of India,354829
Maharashtra,Maval,NARWEKAR RAHUL SURESH,Nationalist Congress Party,182293
Maharashtra,Maval,BHAPKAR MARUTI SAHEBRAO,Aam Aadmi Party,30566
Maharashtra,Maval,BHIMAPUTRA TEXAS GAIKWAD,Bahujan Samaj Party,25982
Maharashtra,Maval,BARNE SHRIRANG CHIMAJI,Janata Dal (United),11259
Maharashtra,Maval,GHARAT SANTOSH ROHIDAS,Bahujan Mukti Party,8940
Maharashtra,Maval,JAGTAP LAXMAN SITARAM,Independent,8765
Maharashtra,Maval,SIR MANUEL SABINO D'SOUZA,Independent,4311
Maharashtra,Maval,NANAWARE PRAMOD MAHADEO,Independent,4276
Maharashtra,Maval,SUBHASH GOPALRAO BODHE,Independent,3429
Maharashtra,Maval,BHIMRAO ANNA KADALE,Independent,2911
Maharashtra,Maval,ADV.VAISHALI SURENDRA BORDE,Independent,2536
Maharashtra,Maval,H.B.P.ADV.R.K.PATIL,Independent,2336
Maharashtra,Maval,NURJAHAN YASIN SHAIKH,Independent,2024
Maharashtra,Maval,RAJENDRA MARUTI KATE,Independent,2016
Maharashtra,Maval,SIMA DHARMANNA MANIKADI,Prabuddha Republican Party,1765
Maharashtra,Maval,JAGTAP LAXMAN MURLIDHAR,Independent,1600
Maharashtra,Maval,ABHIJIT ANIL APTE,Independent,1085
Maharashtra,Maval,None of the Above,None of the Above,11186
Maharashtra,Sangli,SANJAYKAKA PATIL,Bharatiya Janata Party,611563
Maharashtra,Sangli,PATIL PRATIK PRAKASHBAPU,Indian National Congress,372271
Maharashtra,Sangli,BANDGAR NANASO BALASO,Bahujan Samaj Party,11378
Maharashtra,Sangli,NITIN GANPATRAO SAVGAVE,Bahujan Mukti Party,8405
Maharashtra,Sangli,SURESH PARTH MANE (NANA),Independent,8353
Maharashtra,Sangli,SAMINA ABDULMAJID KHAN,Aam Aadmi Party,4699
Maharashtra,Sangli,CHOPADE SHRIPRASAD JANARDAN,Independent,4309
Maharashtra,Sangli,SIDDHA SHIVAPPA BHOSALE,Independent,4309
Maharashtra,Sangli,SHARMILA BABA WAKSHE,Independent,2481
Maharashtra,Sangli,ADV. K. D. SHINDE,Janata Dal (Secular),2460
Maharashtra,Sangli,MADHUKAR BABURAO KAMBALE,Independent,1844
Maharashtra,Sangli,TANAJIRAO JAGANNATH JADHAV(CHINCHANIKAR),Independent,1774
Maharashtra,Sangli,POURNIMA VILAS KORPALE,Independent,1702
Maharashtra,Sangli,SHRIRANG BABURAO PAKHARE,Independent,1661
Maharashtra,Sangli,ASHOK DNANU MANE(BHAU),Independent,1494
Maharashtra,Sangli,DHATTURE HAFIZBHAI HUSAIN,Independent,997
Maharashtra,Sangli,SUREKHA ALIAS SURAIYYA SHAHIN SHAIKH,Maharashtra Vikas Aghadi,849
Maharashtra,Sangli,None of the Above,None of the Above,6110
Maharashtra,Bhandara Gondiya,NANABHAU FALGUNRAO PATOLE,Bharatiya Janata Party,606129
Maharashtra,Bhandara Gondiya,PATEL PRAFUL MANOHARBHAI,Nationalist Congress Party,456875
Maharashtra,Bhandara Gondiya,ENG. SANJAY RAGHUNATH NASARE,Bahujan Samaj Party,50958
Maharashtra,Bhandara Gondiya,ADV.DADASAHEB ALIAS DHANU BHIKAJI WALTHARE,Independent,10133
Maharashtra,Bhandara Gondiya,MORESHWAR RAMAJI MESHRAM,Independent,10127
Maharashtra,Bhandara Gondiya,ZANZAD SHALIKRAM SHANKARRAO,Independent,9736
Maharashtra,Bhandara Gondiya,PRASHANT SHYAMSUNDAR MISHRA,Aam Aadmi Party,8647
Maharashtra,Bhandara Gondiya,DHANANJAY SHAMLALJI RAJABHOJ,Independent,6128
Maharashtra,Bhandara Gondiya,ISHWAR LAHANU NANDAGAWALI,Independent,5941
Maharashtra,Bhandara Gondiya,CHOLE OMPRAKASH BAKARAM,Independent,4417
Maharashtra,Bhandara Gondiya,VISHAL ARVIND BHOYAR,Independent,4169
Maharashtra,Bhandara Gondiya,PATLE ANJALI AGASTIKUMAR,Bharipa Bahujan Mahasangh,1955
Maharashtra,Bhandara Gondiya,ARUN NAGORAO GAJBHIYE,Independent,1876
Maharashtra,Bhandara Gondiya,BANTE JITENDRA RAMAJI,Independent,1729
Maharashtra,Bhandara Gondiya,SAYYAD AFJALALI ALIAS CHHANUBHAI,Minorities Democratic Party,1578
Maharashtra,Bhandara Gondiya,DR.KOHAPARE HARSHAWARDHAN MUNESHWAR,Bahujan Mukti Party,1544
Maharashtra,Bhandara Gondiya,DAHARWAL GANESHDEO RAGHUJI,Gondvana Gantantra Party,1542
Maharashtra,Bhandara Gondiya,SUSHMA VITTHAL NAGPURE,Independent,1477
Maharashtra,Bhandara Gondiya,RAMAN MOTIRAM BANSOD,Ambedkarite Party of India,1429
Maharashtra,Bhandara Gondiya,MATE MANOHAR ALIAS MAMA,Independent,1380
Maharashtra,Bhandara Gondiya,THAKARE RAMESHWAR (RAMESHWAR) SUNDARLAL,Samajwadi Party,1260
Maharashtra,Bhandara Gondiya,JITENDRA AADKUJI RAUT,Akhil Bharatiya Manavata Paksha,1077
Maharashtra,Bhandara Gondiya,RANJEET AMARDAS SUKHDEVE,Ambedkar Samaj Party,987
Maharashtra,Bhandara Gondiya,MIRZA VAHED BEG AHMADBEG,Independent,899
Maharashtra,Bhandara Gondiya,VARSHA GOVIND TIDKE,Independent,594
Maharashtra,Bhandara Gondiya,WADHAVE DAMODHAR NATTHU,Independent,577
Maharashtra,Bhandara Gondiya,None of the Above,None of the Above,4032
Maharashtra,Kolhapur,DHANANJAY BHIMRAO MAHADIK,Nationalist Congress Party,607665
Maharashtra,Kolhapur,SANJAY SADASHIV MANDALIK,Shivsena,574406
Maharashtra,Kolhapur,SAMPATRAO SHAMRAO PAWAR PATIL,Peasants And Workers Party of India,13162
Maharashtra,Kolhapur,SANDEEP GUNDOPANT SANKPAL,Independent,10963
Maharashtra,Kolhapur,KURANE AJAY PRAKASH,Bahujan Samaj Party,9291
Maharashtra,Kolhapur,KAMBLE DAYANAND VASANT,Bahujan Mukti Party,8635
Maharashtra,Kolhapur,ATUL PRASANNAKUMAR DIGHE,Bharipa Bahujan Mahasangh,7067
Maharashtra,Kolhapur,SHEREGAR CHETAN VENKATESH,Independent,6114
Maharashtra,Kolhapur,PATIL BAJRANG KRISHNA,Independent,5676
Maharashtra,Kolhapur,NARAYAN GUNDU POWAR,Aam Aadmi Party,5495
Maharashtra,Kolhapur,YASHWANT BALKRUSHNA JOSHI,Independent,1415
Maharashtra,Kolhapur,KAMBLE SUKUMAR DATTU,Independent,915
Maharashtra,Kolhapur,JEEVAN ALIAS C.A.PATIL,Independent,898
Maharashtra,Kolhapur,PANDURANG TUKARAM CHOUGALE,Independent,836
Maharashtra,Kolhapur,MHAMANE ANIL SUBHASH,Independent,736
Maharashtra,Kolhapur,None of the Above,None of the Above,7015
Maharashtra,Nagpur,GADKARI NITIN JAIRAM,Bharatiya Janata Party,587767
Maharashtra,Nagpur,VILAS MUTTEMWAR,Indian National Congress,302939
Maharashtra,Nagpur,DR. MOHAN RAMRAO GAIKWAD,Bahujan Samaj Party,96433
Maharashtra,Nagpur,ANJALI ANISH DAMANIA,Aam Aadmi Party,69081
Maharashtra,Nagpur,KAVITA VINODKUMAR TIBDIWAL,Independent,2408
Maharashtra,Nagpur,KANPHADE RAJENDRAKUMAR EX. ADDITIONAL COLLECTOR,Independent,2269
Maharashtra,Nagpur,SENAPATI UTTAM SAPAN,Independent,2017
Maharashtra,Nagpur,CHANDA SUDHIR MANWATKAR,Independent,1880
Maharashtra,Nagpur,DR. PRADEEP RAMBHAUJI NAGRALE,Ambedkarite Party of India,1366
Maharashtra,Nagpur,ANSARI JAVED AHEMAD,Democratic Secular Party,1262
Maharashtra,Nagpur,SHRIDHAR NARAYAN SALVE,Independent,1187
Maharashtra,Nagpur,SOMKUVAR VIJAY SITARAM,Independent,1077
Maharashtra,Nagpur,SUNIL DATTU PENDOR,Bahujan Mukti Party,836
Maharashtra,Nagpur,JIVAN RAMTEKE,Independent,807
Maharashtra,Nagpur,GAUS MOHAMMED SHEIKH AYYUB SHEIKH,Independent,784
Maharashtra,Nagpur,RAVINDRA MANIK BORKAR,Independent,760
Maharashtra,Nagpur,ADV. SURESH SHINDE,Independent,677
Maharashtra,Nagpur,MOHAN MAROTRAO KAREMORE,Independent,665
Maharashtra,Nagpur,ANITA NAGDIGAMBAR TEKAM,Independent,660
Maharashtra,Nagpur,PHUSEY GHANSHYAM RAMAJI,Republican Party of India,655
Maharashtra,Nagpur,SHAKIL WASI AHAMAD,Independent,542
Maharashtra,Nagpur,AJAZ KHAN,Independent,542
Maharashtra,Nagpur,BABURAO DAMADUJI MESHRAM,Independent,539
Maharashtra,Nagpur,RAJESH SURESH SADHANKAR,Independent,537
Maharashtra,Nagpur,CHIMOTE RAMMURTI KESHVRAO,Gondvana Gantantra Party,528
Maharashtra,Nagpur,BASHIR KHAN,Minorities Democratic Party,466
Maharashtra,Nagpur,SHAHID SHARIF,Janata Dal (United),452
Maharashtra,Nagpur,PANKAJ PRAFULKUMAR BHANSALI,Independent,439
Maharashtra,Nagpur,DR. DHARMENDRA MANDLIK (PARATE),Hindustan Janta Party,426
Maharashtra,Nagpur,BABULAL SUNDARLAL BANJARE,Independent,419
Maharashtra,Nagpur,DILIP NARAYAN BHORKAR,Independent,415
Maharashtra,Nagpur,DHIRAJ JAIDEV GAJBHIYE,Independent,390
Maharashtra,Nagpur,ATEEQUE AHMAD MALIK,Independent,373
Maharashtra,Nagpur,None of the Above,None of the Above,3460
Maharashtra,Amravati,ADSUL ANANDRAO VITHOBA,Shivsena,467212
Maharashtra,Amravati,NAVNEET RAVI RANA,Nationalist Congress Party,329280
Maharashtra,Amravati,GUNWANT SUDAMRAO DEVPARE,Bahujan Samaj Party,98200
Maharashtra,Amravati,DR.RAJENDRA RAMKRISHNA GAWAI,Republican Party of India,54278
Maharashtra,Amravati,RAJU MAHADEORAO SONONE,Independent,10052
Maharashtra,Amravati,RAJU S. MANKAR,Independent,7873
Maharashtra,Amravati,BHAVNA BHAVESH WASNIK,Aam Aadmi Party,6424
Maharashtra,Amravati,SIRSAT HARIDAS ANKUSH,Independent,5268
Maharashtra,Amravati,ADV. BANDYA SANE ALIAS BANDU SAMPATRAO SANE,Independent,3732
Maharashtra,Amravati,JYOTI GAJANAN MAKODE,Ambedkarite Party of India,3724
Maharashtra,Amravati,MANOHAR BALIRAM SONONE,Independent,2489
Maharashtra,Amravati,VISHWANATH GOTUJI JAMNEKAR,Independent,2011
Maharashtra,Amravati,DONGRE PRIYA ANIL,Independent,1734
Maharashtra,Amravati,ATHAWALEY SANJAY HIRAMANJI,Independent,1649
Maharashtra,Amravati,SUNIL DAVID AMRAVATI,Bahujan Mukti Party,1463
Maharashtra,Amravati,RAMTEKE RAMESH DEVIDASRAO,Republican Party of India (Khobragade),1442
Maharashtra,Amravati,JYOTI SANJAY DEWKAR,Independent,1312
Maharashtra,Amravati,KIRANTAI DADARAO ALIAS KOKUBHAU KOKATE,Independent,970
Maharashtra,Amravati,ASHATAI ABHYANKAR AMRAVATI,Independent,809
Maharashtra,Amravati,None of the Above,None of the Above,4139
Maharashtra,Chandrapur,AHIR HANSRAJ GANGARAM,Bharatiya Janata Party,508049
Maharashtra,Chandrapur,DEOTALE SANJAY WAMANRAO,Indian National Congress,271780
Maharashtra,Chandrapur,CHATAP WAMANRAO SADASHIV,Aam Aadmi Party,204413
Maharashtra,Chandrapur,KUMBHARE HANSRAJ GULAB,Bahujan Samaj Party,49229
Maharashtra,Chandrapur,PRAMOD MANGARUJI SORTE,Independent,10930
Maharashtra,Chandrapur,VINOD DINANATH MESHRAM,Independent,8936
Maharashtra,Chandrapur,ASHOK VITHOBA KHANDALE,Republican Party of India,8302
Maharashtra,Chandrapur,NAMDEO SHEDMAKE,Independent,5829
Maharashtra,Chandrapur,NANDKISHOR GANGARAM RANGARI,Ambedkarite Party of India,4850
Maharashtra,Chandrapur,FIRAJ PATHAN,Bahujan Mukti Party,4341
Maharashtra,Chandrapur,QURESHI M. EKHALAK M. YUSUF,Socialist Party (India),4176
Maharashtra,Chandrapur,KARTIK GAJANAN KODAPE,Independent,3879
